"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTB",492.942474305914,499.96612118682,13.2687827651678,2.94443493532131e-09,1.71660556729233e-06,-3.78685206552604
"ACTG1",119.686711408222,165.579115945543,10.522801687359,5.5417056648968e-08,1.61540720131742e-05,-3.8248893156372
"PPP1R27",110.120992642857,128.26851525,9.91539101155682,1.15252525499763e-07,2.23974074554539e-05,-3.83708647325391
"MT-RNR2",23417.4921561464,19151.5961156584,8.00178171425353,1.47826290280093e-06,0.000215456818083236,-3.89073868810151
"TRIM63",68.6568737857143,145.433406535714,7.57952428426738,2.74605177169879e-06,0.000291329234033872,-3.90686036778233
"RGS2",92.7530835406051,96.1135564827813,7.52081634317064,2.99824254580314e-06,0.000291329234033872,-3.9092600086143
"MKNK2",82.8837879961623,141.540939714263,6.94749885870105,7.23842374791511e-06,0.000602857292147787,-3.93498378454966
"MYOT",184.860525857143,806.089804428571,6.59083335738785,1.28031052089967e-05,0.000933026292105636,-3.95333470492782
"MT-TL1",-1377.00104119838,2796.27592153844,-6.39312596398498,1.76946070777952e-05,0.00114621732515051,-3.9643874031569
"HSP90AB1",58.6397023257099,232.659624767387,5.76906645318376,5.09087029693374e-05,0.00296797738311237,-4.00397621631069
"SQSTM1",40.5499029145468,164.94528077271,5.64033847465696,6.37352303056343e-05,0.00337796720619862,-4.01312707463737
"MT-TT",-295.091864736212,188.99358718777,-5.39924851586571,9.76809778890228e-05,0.00428528993585337,-4.03126976044732
"APOBEC2",-48.3786382142857,288.088616464286,-5.38206234477145,0.000100730255785325,0.00428528993585337,-4.03261504981173
"G0S2",168.503379534817,149.031471542337,5.36171459878527,0.0001044691797733,0.00428528993585337,-4.03421701068564
"MYL6",154.490188779647,144.438292466417,5.33167125855674,0.000110256173306691,0.00428528993585337,-4.0366006371137
"MT-ND6",-1196.64702165654,2881.07347051572,-5.21102829053231,0.000137074854836314,0.0049946650230982,-4.04639626150772
"MT-TY",-1390.69827713697,1724.66074098694,-5.10222189100198,0.000167092018957483,0.00573027335601251,-4.0555458166151
"HSPB1",314.16360254277,487.976210363622,5.03143719502743,0.000190223224955369,0.00601160847638655,-4.06166296386887
"HLA-E",-75.0720705371788,193.075509094671,-5.01538024392566,0.000195918629590642,0.00601160847638655,-4.06306898855734
"PDK4",154.578203380188,132.071103805092,4.92530234416113,0.000231321866624844,0.00646384748946016,-4.07108472958373
"MT-TD",-163.843200781042,173.794853227241,-4.92178609295336,0.000232831556224123,0.00646384748946016,-4.07140207952907
"CFL1",46.8451989091829,90.7974774738406,4.84956928974636,0.000266203627028919,0.00705439611626637,-4.07799479415033
"SRGN",264.836639852074,202.542928569336,4.80223400553907,0.000290734314720374,0.00719440079698631,-4.08239441645639
"ASB2",37.4647505785235,106.109424549329,4.79231021384423,0.000296167442757584,0.00719440079698631,-4.08332474151951
"H19",126.293103725475,253.586028105617,4.74961830216578,0.000320766525147884,0.00748027536644865,-4.08735864473134
"AMPD1",-47.5024936428571,314.034464178571,-4.66426829927384,0.000376487346604586,0.00844200473347977,-4.09557893255635
"HSPB7",115.038435857143,404.300972571429,4.59507961859778,0.000428956725689613,0.00926228781766832,-4.10239719729785
"LYZ",149.839810764217,165.094163186951,4.56555646073631,0.000453591460381807,0.00944442219294976,-4.10534924447666
"XIRP1",37.8742698571429,51.1038250714286,4.54091459466335,0.000475269003793049,0.00955454583487404,-4.10783290666785
"MNDA",74.1019901431825,124.104929577203,4.50085018619115,0.000512821764645088,0.00996583629293622,-4.11190950865789
"UBC",-76.6010914352318,244.806888593386,-4.20138666718224,0.000910265238600457,0.0171188591646473,-4.14392269827931
"HSPB8",62.4282332142857,186.40692825,4.08345153723184,0.00114379347910799,0.0208384874474987,-4.15729412068429
"MT-CO1",-3323.13613156281,20097.9598029994,-4.05258381269717,0.00121448891513968,0.0214559708341343,-4.16086645293565
"ATP1A2",34.6128303007522,198.677682730907,4.00925325988354,0.00132133593433421,0.022657024991672,-4.16593218750494
"H3F3B",78.0202405738773,141.841800791469,3.87036943749368,0.00173304725569406,0.0274768368617232,-4.18257271950034
"MT-TC",-435.468976333209,1556.81005492069,-3.86769573357193,0.0017421440569057,0.0274768368617232,-4.18289912664807
"MT-CO2",-3754.60573242056,14323.1351380852,-3.86720675324064,0.00174381297407163,0.0274768368617232,-4.18295884638471
"JSRP1",28.4410515368145,79.5830176401426,3.83702661235255,0.00185003194256261,0.0283833848030001,-4.18665960680479
"HSP90AA1",32.8459662504821,102.911321145769,3.79668724344151,0.00200236167794705,0.029932739954952,-4.19165167925567
"PNRC1",33.455552082703,77.830981115469,3.73720823123895,0.00225054540964192,0.0328016993455309,-4.199107361955
"TAGLN2",84.8920953411616,100.392068929247,3.71507456999383,0.00235067976915373,0.0334255196443078,-4.20191069582224
"EIF4G2",21.6709233626003,113.137500182591,3.66408318465372,0.00259890370237309,0.0360752585353217,-4.20842849238095
"VDAC3",-30.8135328847509,196.689437192774,-3.60583020938317,0.00291514730464075,0.0395239739210594,-4.21597569592259
"SYNPO2",30.4118201009709,168.177156677123,3.58295248969058,0.00304974212966117,0.0404090832180105,-4.21896911579207
"FCGR3B",94.2474101238521,220.00066970134,3.57118089865354,0.00312142535076297,0.0404397995443292,-4.22051580081267
"MT-TE",-234.136015681303,742.905100290938,-3.50057093513962,0.00358854879889314,0.04548095542945,-4.22988473594196
"NEXN",70.3490615822283,145.230887037579,3.4463953371444,0.00399420903413201,0.0495451886574247,-4.23717851790801
